;Name;Status;2016;2017;2018;2019;2020
Hà Nam;Phủ Lý;District-level City;150122.73893;152772.12743;155468.27273;158212;160955.72727
Hà Nam;Thanh Liêm;District;116864.23616;117429.7498;117998;118569;119140
Hà Nội;Hà Nội;Municipality;7624671.70631;7765067.76934;7908049;8053663;8199277
Hà Nội;Bắc Từ Liêm;Urban District;305447.84148;315031.39493;324915.63636;335110;345304.36364
Hà Nội;Ba Đình;Urban District;222990.34944;222623.96464;222258.18182;221893;221527.81818
Hà Nội;Ba Vì;District;278622.4223;282552.58325;286538.18182;290580;294621.81818
Hà Nội;Cầu Giấy;Urban District;274669.06996;280500.0508;286454.81818;292536;298617.18182
Hà Nội;Chương Mỹ;District;323615.96055;328122.9146;332692.63636;337326;341959.36364
Hà Nội;Đan Phượng;District;165912.87254;168727.56087;171590;174501;177412
Hà Nội;Đông Anh;District;386318.94513;392689.98354;399166.09091;405749;412331.90909
Hà Nội;Đống Đa;Urban District;371200.057;371335.32204;371470.63636;371606;371741.36364
Hà Nội;Gia Lâm;District;271002.87516;275945.2336;280977.72727;286102;291226.27273
Hà Nội;Hà Đông;Urban District;354600.50424;368468.87537;382879.63636;397854;412828.36364
Hà Nội;Hai Bà Trưng;Urban District;301447.40512;302158.5909;302871.45455;303586;304300.54545
Hà Nội;Hoài Đức;District;243859.51995;250072.69957;256444.18182;262978;269511.81818
Hà Nội;Hoàng Mai;Urban District;461169.28741;475761.90552;490816.27273;506347;521877.72727
Hà Nội;Hoàn Kiếm;Urban District;138838.43285;137756.54663;136683.09091;135618;134552.90909
Hà Nội;Long Biên;Urban District;297163.18257;305394.98463;313854.81818;322549;331243.18182
Hà Nội;Mê Linh;District;227420.22468;231716.79821;236094.54545;240555;245015.45455
Hà Nội;Mỹ Đức;District;191856.30382;194501.23853;197182.63636;199901;202619.36364
Hà Nội;Nam Từ Liêm;Urban District;239261.24744;247315.33677;255640.54545;264246;272851.45455
Hà Nội;Phúc Thọ;District;177412.08029;179589.22696;181793.09091;184024;186254.90909
